sha,filename,url,lines,title,comment,priority,category,additional,id,private
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","1:0-1:16","remove","It is easier to run the code manually in tkeclipse if it is not in a module.\nSo remove this module. You can still have separate files without using modules which should really be reserved for things that are truly separate where some form of information hiding is useful. \nSo utils and expressions should not be modules either","2","Best Practices","","d7354acb-21c9-4f66-b65d-df01244218ee","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","11:0-11:25","obscure","I do not understand the effect of this. Why is it needed? What does it do?\nIt probably needs to be removed and whaever problem you had handled differently","2","Code-Style","","49ef65df-ed8e-47fa-ba71-56b606a88e16","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","32:0-35:73","Rewrite","This is really too short to be a separate predicate and it is only called once. \n\nBetter practice would be to merge it back into main/2 ","2","Best Practices","","04be62d4-73ca-4ecc-a455-624cf936d3c6","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","52:0-54:23","Clarity","2 remarks:\n-according to the document of asserta/1 https://eclipseclp.org/doc/bips/kernel/dynamic/asserta-1.html the predicate asserted need to be delcared dynamic\n-you really have to document the use of these predicates: what do they represent, what is their format? Best to do that when you delcare them as dynamic","0","Best Practices","","43fe32dc-04f8-411b-8346-1968356772e8","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","40:0-51:56","Handling of test drivers","Some remarks on the testdrivers generated\n- they are best generated in a timestamped folder e.g. function_name_date_time_generated as this is very useful for regression and debugging\n- they should not be deleted: create in a new folder as mentioned above ","2","Architecture","","a25eb4ef-fc12-4d55-ba01-8758468d4204","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","40:0-40:18","Rename","rename setup_test_driver?","2","Best Practices","","733e7c83-03f3-4ec9-89fa-7399f58cfeb8","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","35:4-35:20","Comprehension","What does this do? Where is it defined? Hard to follow","2","Best Practices","","676ee09c-a132-4141-b5c4-01f285cac108","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\main.pl","","57:0-57:5","Comprehension","Where is this used?","2","Best Practices","","0b86b67e-3876-4a34-9069-d6f3ff86678c","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\statement_handler.pl","","3:0-3:28","Comprehension","What does this do? ","2","Best Practices","","a4845be3-6743-47f0-aa3d-7f07fd09ca35","0"
"b4771e06b6537d747945f955b6adca3608049bad","\Prolog\statement_handler.pl","","11:4-11:14","comprehension","What exactly do you measn by concretise? I am not familiar wit hthis term in Prolog nor symbolic execution so it makes understanding difficult.\nWhere is that predicate?","0","Best Practices","","8bc8a456-3b4b-433d-aede-7f71942272d1","0"
